periode;maindealercode;maindealername;soff;sales_to_ahass;quantityinunitofentry;unrestricteduse;targetsalesamic;bufferstock
42556;G01;ASTRA MOTOR PALEMBANG;H600;5673;914;4095;8169;2708
43834;W01;ASTRA MOTOR MAKASSAR;H760;6282;4843;166;1947;9572
42213;G02;ASTRA MOTOR BENGKULU;H650;185;9601;470;2713;6630
44408;Z11;ASTRA MOTOR JAYAPURA;H790;3862;6379;7177;6636;5776
43436;K0Z;ASTRA MOTOR SEMARANG;H350;9615;6219;6539;801;4249
42402;L01;ASTRA MOTOR YOGYAKARTA;H360;3370;1343;8369;8943;4407
44212;W01;ASTRA MOTOR MAKASSAR;H760;2175;340;4725;558;3894
44640;R5Z;ASTRA MOTOR SAMARINDA;H800;3278;4220;4095;2736;1513
44021;N01;ASTRA MOTOR DENPASAR;H540;5939;8705;4011;8795;2345
44832;R5Z;ASTRA MOTOR SAMARINDA;H800;3041;6045;4082;3639;7804
44030;W01;ASTRA MOTOR MAKASSAR;H760;7827;3594;4797;2067;2050
43249;G01;ASTRA MOTOR PALEMBANG;H600;1930;1130;2557;9266;6855
44043;N02;ASTRA MOTOR MATARAM;H530;2929;236;3561;1730;7146
43141;G02;ASTRA MOTOR BENGKULU;H650;8332;4084;4171;3254;1560
43849;K0Z;ASTRA MOTOR SEMARANG;H350;743;3279;5071;7020;5374
43976;R4Z;ASTRA MOTOR BALIKPAPAN;H700;7910;853;3995;2343;9752
44552;G01;ASTRA MOTOR PALEMBANG;H600;5067;9919;683;2309;6119
42489;R5Z;ASTRA MOTOR SAMARINDA;H800;8099;8864;9836;6793;8991
45180;G02;ASTRA MOTOR BENGKULU;H650;2019;2050;3000;7049;1687
44531;G01;ASTRA MOTOR PALEMBANG;H600;4821;8020;4873;9246;503
45216;R4Z;ASTRA MOTOR BALIKPAPAN;H700;5754;8012;3133;2801;4675
44356;K0Z;ASTRA MOTOR SEMARANG;H350;7933;4275;9607;5383;1599
44353;Z11;ASTRA MOTOR JAYAPURA;H790;7039;1613;4675;4884;6221
42381;N01;ASTRA MOTOR DENPASAR;H540;1362;6534;3910;7824;5652
43592;Z11;ASTRA MOTOR JAYAPURA;H790;752;6940;6083;8230;4537
42705;L01;ASTRA MOTOR YOGYAKARTA;H360;4927;5111;8336;7451;6864
43595;W01;ASTRA MOTOR MAKASSAR;H760;3804;4743;5995;5449;1334
44726;N01;ASTRA MOTOR DENPASAR;H540;6536;9382;7833;2044;5801
42813;N01;ASTRA MOTOR DENPASAR;H540;1413;9110;6746;507;1756
44325;R5Z;ASTRA MOTOR SAMARINDA;H800;4747;2212;2141;636;2763
42066;N02;ASTRA MOTOR MATARAM;H530;4919;1322;2423;8109;5103
42954;R5Z;ASTRA MOTOR SAMARINDA;H800;951;9778;7084;7848;8580
44929;R4Z;ASTRA MOTOR BALIKPAPAN;H700;804;605;1770;7013;5780
44925;Q01;ASTRA MOTOR PONTIANAK;H720;2694;5052;8735;482;7709
43550;Z11;ASTRA MOTOR JAYAPURA;H790;8182;8279;5091;8800;9472
43021;R5Z;ASTRA MOTOR SAMARINDA;H800;8807;8130;2637;7786;1620
42433;R5Z;ASTRA MOTOR SAMARINDA;H800;9027;3748;6991;565;4073
44202;K0Z;ASTRA MOTOR SEMARANG;H350;9378;8231;4208;2444;2567
43651;K0Z;ASTRA MOTOR SEMARANG;H350;7976;8368;7269;1730;4305
44938;Q01;ASTRA MOTOR PONTIANAK;H720;2277;5645;6208;4227;535
44370;Z11;ASTRA MOTOR JAYAPURA;H790;6536;5575;2483;7608;2792
43835;L01;ASTRA MOTOR YOGYAKARTA;H360;3325;5201;6868;2805;7829
43516;Q01;ASTRA MOTOR PONTIANAK;H720;9587;7629;8211;1912;1085
43782;N02;ASTRA MOTOR MATARAM;H530;5653;4086;1365;9534;7074
42084;W01;ASTRA MOTOR MAKASSAR;H760;2222;7570;4313;3481;8026
43067;L01;ASTRA MOTOR YOGYAKARTA;H360;7090;7489;9384;6364;6586
42810;K0Z;ASTRA MOTOR SEMARANG;H350;646;9022;413;4162;4536
42721;G01;ASTRA MOTOR PALEMBANG;H600;29;8324;4564;1682;4547
42681;R4Z;ASTRA MOTOR BALIKPAPAN;H700;404;5301;9808;1815;6729
44279;R4Z;ASTRA MOTOR BALIKPAPAN;H700;9008;5284;6540;328;386
44364;G01;ASTRA MOTOR PALEMBANG;H600;829;3610;1737;8152;6607
42735;L01;ASTRA MOTOR YOGYAKARTA;H360;4384;4978;8843;6762;8850
43125;L01;ASTRA MOTOR YOGYAKARTA;H360;2259;262;4773;1220;4091
42201;R4Z;ASTRA MOTOR BALIKPAPAN;H700;1963;5899;5906;172;4769
43906;W01;ASTRA MOTOR MAKASSAR;H760;7268;63;7375;9826;6115
44929;W01;ASTRA MOTOR MAKASSAR;H760;66;1402;6235;3141;5771
44051;R4Z;ASTRA MOTOR BALIKPAPAN;H700;5585;8191;6846;7998;2649
44362;R4Z;ASTRA MOTOR BALIKPAPAN;H700;7270;2571;8251;6572;7605
42357;Z11;ASTRA MOTOR JAYAPURA;H790;5527;4030;2820;7766;8198
42651;Q01;ASTRA MOTOR PONTIANAK;H720;7214;3466;1670;6025;4543
44361;R4Z;ASTRA MOTOR BALIKPAPAN;H700;5506;4002;9365;7897;664
43790;K0Z;ASTRA MOTOR SEMARANG;H350;9546;280;4301;2501;6337
42400;N02;ASTRA MOTOR MATARAM;H530;8751;9833;7697;1179;7255
45125;R5Z;ASTRA MOTOR SAMARINDA;H800;3759;5746;7517;5810;5767
44195;G02;ASTRA MOTOR BENGKULU;H650;8817;3422;5861;9971;9980
45067;L01;ASTRA MOTOR YOGYAKARTA;H360;9253;8771;7229;9002;6669
42934;R4Z;ASTRA MOTOR BALIKPAPAN;H700;279;3427;9024;1932;1989
45076;L01;ASTRA MOTOR YOGYAKARTA;H360;1482;2869;1771;6426;6917
42519;N02;ASTRA MOTOR MATARAM;H530;2026;330;2012;9294;8305
42773;K0Z;ASTRA MOTOR SEMARANG;H350;4494;1057;1557;2290;4310
42032;N01;ASTRA MOTOR DENPASAR;H540;3866;5695;8454;9989;56
43281;Z11;ASTRA MOTOR JAYAPURA;H790;6779;2159;9453;8372;9327
42440;W01;ASTRA MOTOR MAKASSAR;H760;1750;1502;5966;3631;8732
43254;G01;ASTRA MOTOR PALEMBANG;H600;5994;1619;9257;3812;7554
44374;G02;ASTRA MOTOR BENGKULU;H650;9646;2850;8998;5156;3134
42649;R4Z;ASTRA MOTOR BALIKPAPAN;H700;367;8243;388;1522;7387
44825;W01;ASTRA MOTOR MAKASSAR;H760;7339;7822;5588;645;9536
42270;R5Z;ASTRA MOTOR SAMARINDA;H800;8291;6335;935;473;2267
43625;G02;ASTRA MOTOR BENGKULU;H650;3896;5683;946;8572;4453
43780;N02;ASTRA MOTOR MATARAM;H530;5949;1696;2195;3111;4004
44563;N02;ASTRA MOTOR MATARAM;H530;2963;6348;9453;7677;49
44978;R5Z;ASTRA MOTOR SAMARINDA;H800;8142;5219;8095;1047;2391
43821;L01;ASTRA MOTOR YOGYAKARTA;H360;4249;1212;8213;2152;8887
43997;Q01;ASTRA MOTOR PONTIANAK;H720;2629;6950;1862;3134;8117
44671;K0Z;ASTRA MOTOR SEMARANG;H350;6040;4531;7379;4185;8668
44553;W01;ASTRA MOTOR MAKASSAR;H760;805;1569;3145;648;3491
42853;N02;ASTRA MOTOR MATARAM;H530;8915;6606;2773;7107;4574
43848;L01;ASTRA MOTOR YOGYAKARTA;H360;7501;6190;6079;4430;1055
45043;R4Z;ASTRA MOTOR BALIKPAPAN;H700;7812;7872;725;2265;1155
43775;L01;ASTRA MOTOR YOGYAKARTA;H360;2623;4285;8572;1863;6888
43960;N02;ASTRA MOTOR MATARAM;H530;9347;9107;4955;1474;6541
44792;K0Z;ASTRA MOTOR SEMARANG;H350;9867;3233;9617;1252;69
42610;Q01;ASTRA MOTOR PONTIANAK;H720;6454;1929;3221;122;2710
43624;G02;ASTRA MOTOR BENGKULU;H650;2798;5712;6484;852;8026
43430;R4Z;ASTRA MOTOR BALIKPAPAN;H700;6427;2092;7183;225;7643
42560;Q01;ASTRA MOTOR PONTIANAK;H720;3868;3140;2539;6148;7492
44958;K0Z;ASTRA MOTOR SEMARANG;H350;810;8384;2668;9248;5220
43959;N01;ASTRA MOTOR DENPASAR;H540;833;120;1215;4400;170
42846;R5Z;ASTRA MOTOR SAMARINDA;H800;9136;9707;6728;4525;9478
42950;R4Z;ASTRA MOTOR BALIKPAPAN;H700;9852;4566;2662;3084;9717
42199;R4Z;ASTRA MOTOR BALIKPAPAN;H700;1888;472;8532;3909;6678
45171;G02;ASTRA MOTOR BENGKULU;H650;4809;6067;2784;1987;8410
44308;Q01;ASTRA MOTOR PONTIANAK;H720;58;6572;2007;412;1007
42861;L01;ASTRA MOTOR YOGYAKARTA;H360;5403;3655;8567;2165;5613
42715;K0Z;ASTRA MOTOR SEMARANG;H350;1629;4197;4572;2292;2052
45164;L01;ASTRA MOTOR YOGYAKARTA;H360;5046;6487;453;7575;2474
43566;Q01;ASTRA MOTOR PONTIANAK;H720;8560;997;1223;4266;6447
42489;W01;ASTRA MOTOR MAKASSAR;H760;5136;7015;5353;5840;7037
42903;R5Z;ASTRA MOTOR SAMARINDA;H800;3635;4917;5640;8797;9216
44317;G02;ASTRA MOTOR BENGKULU;H650;9190;5619;7151;8853;5479
43529;N02;ASTRA MOTOR MATARAM;H530;9375;4610;5285;4619;7595
44549;R4Z;ASTRA MOTOR BALIKPAPAN;H700;5861;8942;4846;3621;4491
43338;G01;ASTRA MOTOR PALEMBANG;H600;7957;3565;7314;2598;6792
44199;N02;ASTRA MOTOR MATARAM;H530;4172;9758;8708;9605;1461
45142;R5Z;ASTRA MOTOR SAMARINDA;H800;2851;6805;3670;7915;9632
44373;R4Z;ASTRA MOTOR BALIKPAPAN;H700;4319;7835;1927;4316;800
42261;N02;ASTRA MOTOR MATARAM;H530;8736;94;3854;4210;3442
42681;G01;ASTRA MOTOR PALEMBANG;H600;891;6643;1742;5135;3802
45212;G01;ASTRA MOTOR PALEMBANG;H600;9696;3974;5963;5432;6959
43104;L01;ASTRA MOTOR YOGYAKARTA;H360;2208;2143;1246;4918;2957
43264;Z11;ASTRA MOTOR JAYAPURA;H790;5722;320;2978;5907;9769
42410;L01;ASTRA MOTOR YOGYAKARTA;H360;6236;9158;1626;4651;9837
43959;N01;ASTRA MOTOR DENPASAR;H540;6100;8124;6013;9539;256
43945;N01;ASTRA MOTOR DENPASAR;H540;774;7662;7741;544;1089
44600;W01;ASTRA MOTOR MAKASSAR;H760;6929;6173;1985;2716;8989
44061;R4Z;ASTRA MOTOR BALIKPAPAN;H700;717;2401;7999;8645;3961
44192;W01;ASTRA MOTOR MAKASSAR;H760;9276;9066;1930;3910;1800
42713;G01;ASTRA MOTOR PALEMBANG;H600;6016;7865;844;763;4479
43020;L01;ASTRA MOTOR YOGYAKARTA;H360;5893;1523;348;6529;3967
43881;K0Z;ASTRA MOTOR SEMARANG;H350;2866;9400;4963;9514;7615
43699;R4Z;ASTRA MOTOR BALIKPAPAN;H700;2621;3214;7902;4399;8830
44284;N02;ASTRA MOTOR MATARAM;H530;3815;4645;6605;3244;1911
44649;K0Z;ASTRA MOTOR SEMARANG;H350;3596;7654;8111;9228;6011
42103;N02;ASTRA MOTOR MATARAM;H530;9765;931;9062;1395;7073
42480;N01;ASTRA MOTOR DENPASAR;H540;7152;9864;4797;6291;8201
45213;G01;ASTRA MOTOR PALEMBANG;H600;4235;3049;5090;6231;4315
45055;G02;ASTRA MOTOR BENGKULU;H650;3111;1051;4222;5839;550
45037;N02;ASTRA MOTOR MATARAM;H530;2840;3641;3731;4521;4571
45093;N02;ASTRA MOTOR MATARAM;H530;8746;6603;9997;5214;2222
42186;N01;ASTRA MOTOR DENPASAR;H540;4841;2562;2608;8318;3557
45108;R4Z;ASTRA MOTOR BALIKPAPAN;H700;1361;1364;5417;1123;1934
43897;N02;ASTRA MOTOR MATARAM;H530;5835;8022;4332;2286;2479
42738;L01;ASTRA MOTOR YOGYAKARTA;H360;1028;5314;8982;3043;1884
44095;W01;ASTRA MOTOR MAKASSAR;H760;1801;5333;3874;1794;7583
44234;K0Z;ASTRA MOTOR SEMARANG;H350;6016;5860;5741;4871;1101
42059;N01;ASTRA MOTOR DENPASAR;H540;8259;3546;5234;525;1888
43042;Z11;ASTRA MOTOR JAYAPURA;H790;9913;4297;5248;3987;1777
43137;Q01;ASTRA MOTOR PONTIANAK;H720;3462;1586;8803;3446;3705
43132;N01;ASTRA MOTOR DENPASAR;H540;1117;4705;6139;4610;3581
43156;Q01;ASTRA MOTOR PONTIANAK;H720;4582;9808;7552;2018;4281
44063;L01;ASTRA MOTOR YOGYAKARTA;H360;918;9415;2302;5240;8234
43729;R4Z;ASTRA MOTOR BALIKPAPAN;H700;7868;9164;8307;4759;5005
43250;R4Z;ASTRA MOTOR BALIKPAPAN;H700;4952;4246;8815;3745;4341
42622;N01;ASTRA MOTOR DENPASAR;H540;3685;3455;4885;3458;6685
43742;G02;ASTRA MOTOR BENGKULU;H650;4854;5435;9710;8900;7733
44137;K0Z;ASTRA MOTOR SEMARANG;H350;1963;78;6229;8239;4512
44673;Q01;ASTRA MOTOR PONTIANAK;H720;7908;1346;7506;5235;7937
43719;N02;ASTRA MOTOR MATARAM;H530;547;5963;9015;6358;9159
42080;L01;ASTRA MOTOR YOGYAKARTA;H360;8880;2293;956;5338;5859
43373;R4Z;ASTRA MOTOR BALIKPAPAN;H700;2656;6773;771;8395;8258
44278;R5Z;ASTRA MOTOR SAMARINDA;H800;7232;346;496;3667;6756
43841;Z11;ASTRA MOTOR JAYAPURA;H790;2902;8712;1665;8471;1384
42560;K0Z;ASTRA MOTOR SEMARANG;H350;438;1906;3534;9756;361
44320;N01;ASTRA MOTOR DENPASAR;H540;9825;4317;4436;4600;3402
44771;G02;ASTRA MOTOR BENGKULU;H650;1482;2576;3319;6977;3962
42901;N02;ASTRA MOTOR MATARAM;H530;8610;1355;3285;1535;8790
43310;G01;ASTRA MOTOR PALEMBANG;H600;9113;5902;1338;3359;3232
45115;W01;ASTRA MOTOR MAKASSAR;H760;7779;5996;7088;5116;9316
43817;G01;ASTRA MOTOR PALEMBANG;H600;5151;5054;6882;9941;659
42586;N02;ASTRA MOTOR MATARAM;H530;1713;5977;3216;6113;5960
43263;Q01;ASTRA MOTOR PONTIANAK;H720;557;5504;5733;4072;503
45102;R4Z;ASTRA MOTOR BALIKPAPAN;H700;8151;4355;7739;919;7742
44879;W01;ASTRA MOTOR MAKASSAR;H760;9105;7469;7618;1181;7792
44876;R5Z;ASTRA MOTOR SAMARINDA;H800;7015;3394;1247;9492;565
42884;G01;ASTRA MOTOR PALEMBANG;H600;5123;3536;2812;1752;5088
43025;L01;ASTRA MOTOR YOGYAKARTA;H360;6414;8279;5226;5227;7730
43329;R5Z;ASTRA MOTOR SAMARINDA;H800;1885;8050;9444;604;4069
43864;W01;ASTRA MOTOR MAKASSAR;H760;6252;9273;5376;7205;4136
43360;Z11;ASTRA MOTOR JAYAPURA;H790;2573;5555;3160;1408;6837
44789;K0Z;ASTRA MOTOR SEMARANG;H350;7229;8431;9545;2684;8635
43217;R5Z;ASTRA MOTOR SAMARINDA;H800;8387;6264;7938;5717;7747
42398;R4Z;ASTRA MOTOR BALIKPAPAN;H700;7836;3171;1460;1332;3475
43727;Q01;ASTRA MOTOR PONTIANAK;H720;1742;4479;4254;3748;5206
42462;G02;ASTRA MOTOR BENGKULU;H650;1323;3472;8479;890;6396
44253;R4Z;ASTRA MOTOR BALIKPAPAN;H700;4382;3222;4832;286;5863
42664;N01;ASTRA MOTOR DENPASAR;H540;5800;3070;7062;6095;7363
42147;N02;ASTRA MOTOR MATARAM;H530;8031;4674;4682;814;8152
44172;L01;ASTRA MOTOR YOGYAKARTA;H360;9351;8204;5779;5492;9085
43522;K0Z;ASTRA MOTOR SEMARANG;H350;1032;1221;3264;4765;5001
43798;G02;ASTRA MOTOR BENGKULU;H650;3841;9328;2231;611;9213
44201;G01;ASTRA MOTOR PALEMBANG;H600;8076;2289;7173;6175;2662
42835;K0Z;ASTRA MOTOR SEMARANG;H350;249;6704;9254;5014;975
43058;L01;ASTRA MOTOR YOGYAKARTA;H360;5023;8259;6032;5725;4196
44648;Z11;ASTRA MOTOR JAYAPURA;H790;9301;705;3431;3056;4466
44592;N02;ASTRA MOTOR MATARAM;H530;9286;8933;5518;6336;8962
42930;Q01;ASTRA MOTOR PONTIANAK;H720;9130;7743;2037;8197;6062
42695;L01;ASTRA MOTOR YOGYAKARTA;H360;7249;3537;5722;3286;7567
43297;G02;ASTRA MOTOR BENGKULU;H650;1514;9035;5301;4225;7531
43915;G02;ASTRA MOTOR BENGKULU;H650;7684;1663;3883;9540;1910
45218;R5Z;ASTRA MOTOR SAMARINDA;H800;7803;9560;6539;764;7644
44491;K0Z;ASTRA MOTOR SEMARANG;H350;633;1931;6444;4791;4372
44597;G01;ASTRA MOTOR PALEMBANG;H600;2507;1161;9747;7852;7001
43594;G01;ASTRA MOTOR PALEMBANG;H600;9435;5222;5719;3272;1726
43032;W01;ASTRA MOTOR MAKASSAR;H760;3351;6755;6318;7416;5275
43328;G01;ASTRA MOTOR PALEMBANG;H600;34;1074;5402;8085;2038
42135;N02;ASTRA MOTOR MATARAM;H530;9358;4900;7090;1591;1637
44835;K0Z;ASTRA MOTOR SEMARANG;H350;1252;1017;9572;2203;2610
43956;G01;ASTRA MOTOR PALEMBANG;H600;2790;2068;8811;9712;8108
44447;N01;ASTRA MOTOR DENPASAR;H540;2683;605;8511;1417;9471
42206;G01;ASTRA MOTOR PALEMBANG;H600;9086;7228;8901;1925;9533
44972;K0Z;ASTRA MOTOR SEMARANG;H350;7149;6722;9225;2226;5730
43710;W01;ASTRA MOTOR MAKASSAR;H760;2283;1354;1441;4025;7441
45119;G02;ASTRA MOTOR BENGKULU;H650;4636;7155;7304;7645;9564
43399;N01;ASTRA MOTOR DENPASAR;H540;6582;6405;5284;5541;6186
42027;L01;ASTRA MOTOR YOGYAKARTA;H360;4414;2314;374;1487;5387
44266;R4Z;ASTRA MOTOR BALIKPAPAN;H700;1774;848;3889;5890;4707
43489;R4Z;ASTRA MOTOR BALIKPAPAN;H700;8626;8964;816;8293;1272
44405;K0Z;ASTRA MOTOR SEMARANG;H350;4326;4164;9447;9298;4077
45223;G01;ASTRA MOTOR PALEMBANG;H600;9545;9795;9045;6195;2308
43269;R5Z;ASTRA MOTOR SAMARINDA;H800;5445;3164;2529;4630;5315
44544;R4Z;ASTRA MOTOR BALIKPAPAN;H700;3245;3717;3182;3670;2591
43363;N01;ASTRA MOTOR DENPASAR;H540;8522;4307;5378;7735;3101
42266;Z11;ASTRA MOTOR JAYAPURA;H790;4447;3017;9412;6553;730
43133;N02;ASTRA MOTOR MATARAM;H530;1560;2032;9391;3134;6841
42349;L01;ASTRA MOTOR YOGYAKARTA;H360;6716;3269;514;9181;8972
42170;G01;ASTRA MOTOR PALEMBANG;H600;8718;3091;1512;4642;3071
42297;G02;ASTRA MOTOR BENGKULU;H650;5044;342;7428;7575;1732
42550;N02;ASTRA MOTOR MATARAM;H530;2194;6546;4077;1295;5071
43039;G01;ASTRA MOTOR PALEMBANG;H600;1928;4766;306;5176;4194
44063;W01;ASTRA MOTOR MAKASSAR;H760;6589;4186;3417;9204;8695
43513;R5Z;ASTRA MOTOR SAMARINDA;H800;4489;8575;7716;8568;5451
43460;R4Z;ASTRA MOTOR BALIKPAPAN;H700;3733;2766;1219;3502;664
43577;G01;ASTRA MOTOR PALEMBANG;H600;913;877;4108;9107;5592
44546;N02;ASTRA MOTOR MATARAM;H530;296;5973;7015;9817;8849
44275;N01;ASTRA MOTOR DENPASAR;H540;7298;5321;8186;9038;8974
44104;L01;ASTRA MOTOR YOGYAKARTA;H360;1651;29;6497;2482;4175
43020;L01;ASTRA MOTOR YOGYAKARTA;H360;8630;5386;9639;83;3559
45018;G02;ASTRA MOTOR BENGKULU;H650;1359;9667;4832;9082;3887
42664;Z11;ASTRA MOTOR JAYAPURA;H790;5052;5989;1988;5841;6594
43792;L01;ASTRA MOTOR YOGYAKARTA;H360;7443;6649;7840;9203;5015
43993;K0Z;ASTRA MOTOR SEMARANG;H350;5167;4176;8830;4804;4232
45157;R5Z;ASTRA MOTOR SAMARINDA;H800;3852;3552;555;6398;5499
43495;K0Z;ASTRA MOTOR SEMARANG;H350;5588;5358;6574;5981;7851
42526;Q01;ASTRA MOTOR PONTIANAK;H720;7968;3842;3092;5696;4614
44872;R4Z;ASTRA MOTOR BALIKPAPAN;H700;592;2964;2751;7168;9355
44767;Z11;ASTRA MOTOR JAYAPURA;H790;3400;9832;1968;740;8134
42235;L01;ASTRA MOTOR YOGYAKARTA;H360;3204;2397;4840;9813;6635
42263;R4Z;ASTRA MOTOR BALIKPAPAN;H700;6002;7338;9871;8884;8685
44526;K0Z;ASTRA MOTOR SEMARANG;H350;9756;1005;4681;1251;3281
44463;R5Z;ASTRA MOTOR SAMARINDA;H800;7941;2791;3920;9673;6564
44513;K0Z;ASTRA MOTOR SEMARANG;H350;9419;6324;9130;611;338
45004;N01;ASTRA MOTOR DENPASAR;H540;2048;4953;9548;7457;3751
44646;Z11;ASTRA MOTOR JAYAPURA;H790;6102;5515;2224;8830;956
44995;R5Z;ASTRA MOTOR SAMARINDA;H800;5865;9864;9251;8735;6303
44438;R5Z;ASTRA MOTOR SAMARINDA;H800;7814;9719;8571;1760;1571
44589;G02;ASTRA MOTOR BENGKULU;H650;6710;4539;6445;5149;545
44263;R4Z;ASTRA MOTOR BALIKPAPAN;H700;2876;6793;125;9737;4584
44669;Z11;ASTRA MOTOR JAYAPURA;H790;2371;367;893;1802;34
44188;W01;ASTRA MOTOR MAKASSAR;H760;6633;5863;7985;5067;8266
42258;L01;ASTRA MOTOR YOGYAKARTA;H360;4850;5146;7225;3362;6655
42923;N02;ASTRA MOTOR MATARAM;H530;6488;9256;5652;3185;6398
43062;N01;ASTRA MOTOR DENPASAR;H540;2745;8314;5071;1242;3806
45059;G02;ASTRA MOTOR BENGKULU;H650;7917;1255;4709;6845;3524
42130;G02;ASTRA MOTOR BENGKULU;H650;923;4601;5162;7855;4692
42163;Q01;ASTRA MOTOR PONTIANAK;H720;3548;5890;4182;6687;2852
42159;K0Z;ASTRA MOTOR SEMARANG;H350;1918;4450;3123;7051;1310
42963;N01;ASTRA MOTOR DENPASAR;H540;7685;7568;3758;3779;461
42553;R5Z;ASTRA MOTOR SAMARINDA;H800;1569;4643;7035;5656;1014
42697;R4Z;ASTRA MOTOR BALIKPAPAN;H700;1326;7570;5164;5000;6293
43550;N02;ASTRA MOTOR MATARAM;H530;6960;6764;9575;963;2019
44468;N01;ASTRA MOTOR DENPASAR;H540;3624;6252;9009;4562;5511
43237;R4Z;ASTRA MOTOR BALIKPAPAN;H700;5856;5645;2471;8003;5115
42188;L01;ASTRA MOTOR YOGYAKARTA;H360;5429;8935;1645;114;5583
42688;Z11;ASTRA MOTOR JAYAPURA;H790;4725;1013;923;3455;8552
42672;L01;ASTRA MOTOR YOGYAKARTA;H360;1295;6533;3133;3098;8696
43099;N02;ASTRA MOTOR MATARAM;H530;9954;6921;1819;1163;1210
43795;G01;ASTRA MOTOR PALEMBANG;H600;4377;5614;9156;1058;4955
42296;L01;ASTRA MOTOR YOGYAKARTA;H360;6928;9174;3423;8521;3783
44590;N02;ASTRA MOTOR MATARAM;H530;2819;9787;6968;8879;1676
42044;W01;ASTRA MOTOR MAKASSAR;H760;4024;7931;4171;1801;7514
43760;N01;ASTRA MOTOR DENPASAR;H540;5838;4635;5046;112;9542
45257;N02;ASTRA MOTOR MATARAM;H530;6809;5223;4105;8870;1446
44141;N02;ASTRA MOTOR MATARAM;H530;1413;2043;1046;9907;7310
44915;K0Z;ASTRA MOTOR SEMARANG;H350;8031;8365;443;7908;3145
43522;N01;ASTRA MOTOR DENPASAR;H540;7275;5730;1781;9353;6151
42338;W01;ASTRA MOTOR MAKASSAR;H760;2445;9162;7047;9278;7459
45152;Z11;ASTRA MOTOR JAYAPURA;H790;1466;2933;6184;9771;2620
44688;L01;ASTRA MOTOR YOGYAKARTA;H360;6369;8542;2506;5432;8442
43390;L01;ASTRA MOTOR YOGYAKARTA;H360;4909;5;5958;1998;2220
43055;N02;ASTRA MOTOR MATARAM;H530;6252;7568;1027;8874;5967
43541;W01;ASTRA MOTOR MAKASSAR;H760;5314;7968;395;6108;6861
44604;R5Z;ASTRA MOTOR SAMARINDA;H800;6549;2672;6263;5678;7148
42804;L01;ASTRA MOTOR YOGYAKARTA;H360;9958;6785;3985;5656;8965
45209;N01;ASTRA MOTOR DENPASAR;H540;5138;4793;319;8996;8996
44620;L01;ASTRA MOTOR YOGYAKARTA;H360;851;9959;6148;834;7078
42184;Q01;ASTRA MOTOR PONTIANAK;H720;6707;4964;8096;6484;1641
44201;G01;ASTRA MOTOR PALEMBANG;H600;8233;7295;2561;3362;3543
44889;Q01;ASTRA MOTOR PONTIANAK;H720;4902;2143;7916;1377;333
44412;L01;ASTRA MOTOR YOGYAKARTA;H360;401;7970;9656;5547;1023
44206;K0Z;ASTRA MOTOR SEMARANG;H350;9831;3153;7601;7193;6796
44671;L01;ASTRA MOTOR YOGYAKARTA;H360;417;6134;3173;6236;6911
45227;G02;ASTRA MOTOR BENGKULU;H650;9487;9766;8525;2898;2653
42152;L01;ASTRA MOTOR YOGYAKARTA;H360;8892;5401;7483;8912;6180
45064;G01;ASTRA MOTOR PALEMBANG;H600;1729;4353;7069;3382;4020
44037;K0Z;ASTRA MOTOR SEMARANG;H350;7557;4211;173;9776;2230
45031;N01;ASTRA MOTOR DENPASAR;H540;9556;5454;5751;2210;27
42158;Q01;ASTRA MOTOR PONTIANAK;H720;8388;4205;3296;692;60
43945;K0Z;ASTRA MOTOR SEMARANG;H350;1749;5215;3554;5000;5956
44836;K0Z;ASTRA MOTOR SEMARANG;H350;407;8172;5280;9399;1496
43005;K0Z;ASTRA MOTOR SEMARANG;H350;1478;1598;4559;6165;8137
44133;G01;ASTRA MOTOR PALEMBANG;H600;5918;2328;2355;4870;7696
44613;R5Z;ASTRA MOTOR SAMARINDA;H800;9773;5582;2305;3208;2536
44866;K0Z;ASTRA MOTOR SEMARANG;H350;7526;7798;149;1763;9860
42810;N01;ASTRA MOTOR DENPASAR;H540;7062;1692;6918;6112;7648
42367;W01;ASTRA MOTOR MAKASSAR;H760;7615;9118;466;3207;8889
43487;N02;ASTRA MOTOR MATARAM;H530;8341;9003;9366;4308;3590
42504;Z11;ASTRA MOTOR JAYAPURA;H790;3306;4768;8919;3650;7134
43403;Q01;ASTRA MOTOR PONTIANAK;H720;3699;7934;1608;2802;5468
44769;G01;ASTRA MOTOR PALEMBANG;H600;1564;9104;7465;3463;4140
43968;Q01;ASTRA MOTOR PONTIANAK;H720;1377;6094;599;7137;9456
44284;N02;ASTRA MOTOR MATARAM;H530;6274;1876;3364;9546;3027
43930;N01;ASTRA MOTOR DENPASAR;H540;8272;5676;8436;1423;9088
45189;R5Z;ASTRA MOTOR SAMARINDA;H800;6619;9957;8187;9776;545
43332;G02;ASTRA MOTOR BENGKULU;H650;3561;1476;1626;9595;5195
42608;Q01;ASTRA MOTOR PONTIANAK;H720;1926;4397;3512;1533;6051
45168;G01;ASTRA MOTOR PALEMBANG;H600;4000;2763;2939;3354;9266
43951;G02;ASTRA MOTOR BENGKULU;H650;8677;5327;3173;9570;7422
44285;R5Z;ASTRA MOTOR SAMARINDA;H800;4484;4377;5138;9688;1184
44071;R4Z;ASTRA MOTOR BALIKPAPAN;H700;2313;9781;3211;8002;517
